# This file produced by program: "write_detector_layout.pro"
title,Maia 384 Si array
N,     384,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       0,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
 312,  -2.430,   6.328,   0.000,   0.794,   0.654,   0.000,  0,   0.000,    9,    3,    5,    7,    3
  91,  -1.456,   6.328,   0.000,   0.829,   0.654,   0.000,  0,   0.000,    2,    0,    4,    8,    3
  83,  -0.481,   6.328,   0.000,   0.864,   0.654,   0.000,  0,   0.000,    2,    0,    4,    9,    3
  75,   0.481,   6.328,   0.000,   0.864,   0.654,   0.000,  0,   0.000,    2,    0,    4,   10,    3
  67,   1.456,   6.328,   0.000,   0.829,   0.654,   0.000,  0,   0.000,    2,    0,    4,   11,    3
  60,   2.430,   6.328,   0.000,   0.794,   0.654,   0.000,  0,   0.000,    1,    0,    5,   12,    3
  53,   3.405,   6.328,   0.000,   0.759,   0.654,   0.000,  0,   0.000,    1,    0,    5,   13,    3
  42,   4.379,   6.328,   0.000,   0.724,   0.654,   0.000,  0,   0.000,    1,    0,    6,   14,    3
  35,   5.354,   6.328,   0.000,   0.689,   0.654,   0.000,  0,   0.000,    1,    0,    6,   15,    3
  28,   6.328,   6.328,   0.000,   0.654,   0.654,   0.000,  0,   0.000,    0,    0,    7,   16,    3
  20,   7.303,   6.328,   0.000,   0.619,   0.654,   0.000,  0,   0.000,    0,    0,    8,   17,    3
  12,   8.277,   6.328,   0.000,   0.583,   0.654,   0.000,  0,   0.000,    0,    0,    8,   18,    3
   4,   9.252,   6.328,   0.000,   0.548,   0.654,   0.000,  0,   0.000,    0,    0,    9,   19,    3
 320,  -9.252,   5.354,   0.000,   0.548,   0.689,   0.000,  0,   0.000,   10,    3,    9,    0,    4
 321,  -8.277,   5.354,   0.000,   0.583,   0.689,   0.000,  0,   0.000,   10,    3,    8,    1,    4
 322,  -7.303,   5.354,   0.000,   0.619,   0.689,   0.000,  0,   0.000,   10,    3,    7,    2,    4
 323,  -6.328,   5.354,   0.000,   0.654,   0.689,   0.000,  0,   0.000,   10,    3,    6,    3,    4
 324,  -5.354,   5.354,   0.000,   0.689,   0.689,   0.000,  0,   0.000,   10,    3,    6,    4,    4
 325,  -4.379,   5.354,   0.000,   0.724,   0.689,   0.000,  0,   0.000,   10,    3,    5,    5,    4
 326,  -3.405,   5.354,   0.000,   0.759,   0.689,   0.000,  0,   0.000,   10,    3,    4,    6,    4
 327,  -2.430,   5.354,   0.000,   0.794,   0.689,   0.000,  0,   0.000,   10,    3,    4,    7,    4
  92,  -1.456,   5.354,   0.000,   0.829,   0.689,   0.000,  0,   0.000,    2,    0,    4,    8,    4
  84,  -0.481,   5.354,   0.000,   0.864,   0.689,   0.000,  0,   0.000,    2,    0,    3,    9,    4
  76,   0.481,   5.354,   0.000,   0.864,   0.689,   0.000,  0,   0.000,    2,    0,    3,   10,    4
  68,   1.456,   5.354,   0.000,   0.829,   0.689,   0.000,  0,   0.000,    2,    0,    4,   11,    4
  59,   2.430,   5.354,   0.000,   0.794,   0.689,   0.000,  0,   0.000,    1,    0,    4,   12,    4
  52,   3.405,   5.354,   0.000,   0.759,   0.689,   0.000,  0,   0.000,    1,    0,    4,   13,    4
