"# This file produced by program: ""write_detector_layout.pro""",,,,,,, ,,,,,,
title,Maia 384 Si array,,,,,,,,,,,,
N,384,Number of detectors,,,,,,,,,,,
Start,0,Start at this # (default: detector numbers start at 0),,,,,,,,,,,
Shape,1,Shape of detectors (0=circular, 1=square),,,,,,,,,,
Symmetry,4,Detector array symmetry steps for 360 degree (default is 4),,,,,,,,,,,
Reorient,0,"Re-orient or rotate by ""reorient*360/symmetry"" degrees",,,,,,,,,,,
MirrorX,0,Mirror the layout in X,,,,,,,,,,,
MirrorY,0,Mirror the layout in Y,,,,,,,,,,,
Veto,0,Veto channels with excessive FWHM,,,,,,,,,,,
Threshold,250,FWHM threshold (eV),,,,,,,,,,,
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
360,-6.328,1.456,0,0.654,0.829,0,0,0,11,3,5,3,8
353,-5.354,1.456,0,0.689,0.829,0,0,0,11,3,5,4,8
361,-4.379,1.456,0,0.724,0.829,0,0,0,11,3,4,5,8
354,-3.405,1.456,0,0.759,0.829,0,0,0,11,3,3,6,8
362,-2.43,1.456,0,0.794,0.829,0,0,0,11,3,2,7,8
185,2.43,1.456,0,0.794,0.829,0,0,0,5,1,2,12,8
184,3.405,1.456,0,0.759,0.829,0,0,0,5,1,3,13,8
191,4.379,1.456,0,0.724,0.829,0,0,0,5,1,4,14,8
183,5.354,1.456,0,0.689,0.829,0,0,0,5,1,5,15,8
190,6.328,1.456,0,0.654,0.829,0,0,0,5,1,5,16,8
182,7.303,1.456,0,0.619,0.829,0,0,0,5,1,6,17,8
189,8.277,1.456,0,0.583,0.829,0,0,0,5,1,7,18,8
181,9.252,1.456,0,0.548,0.829,0,0,0,5,1,8,19,8
355,-9.252,0.481,0,0.548,0.864,0,0,0,11,3,8,0,9
363,-8.277,0.481,0,0.583,0.864,0,0,0,11,3,7,1,9
356,-7.303,0.481,0,0.619,0.864,0,0,0,11,3,6,2,9
364,-6.328,0.481,0,0.654,0.864,0,0,0,11,3,5,3,9
357,-5.354,0.481,0,0.689,0.864,0,0,0,11,3,4,4,9
365,-4.379,0.481,0,0.724,0.864,0,0,0,11,3,3,5,9
366,-3.405,0.481,0,0.759,0.864,0,0,0,11,3,2,6,9
367,-2.43,0.481,0,0.794,0.864,0,0,0,11,3,1,7,9
188,2.43,0.481,0,0.794,0.864,0,0,0,5,1,1,12,9
