# This file produced by program: "write_detector_layout.pro"
title,Maia 96 prototype Si array
N,      96,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       1,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
  86,  -4.500,  -2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    2,    0,    4,    1,    6
  78,  -3.500,  -2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    2,    0,    3,    2,    6
  70,  -2.500,  -2.500,   0.000,   0.920,   0.917,   0.000,  0,   0.000,    2,    0,    3,    3,    6
  57,  -1.500,  -2.500,   0.000,   0.920,   0.931,   0.000,  0,   0.000,    1,    0,    2,    4,    6
  50,  -0.500,  -2.500,   0.000,   0.920,   0.938,   0.000,  0,   0.000,    1,    0,    2,    5,    6
  45,   0.500,  -2.500,   0.000,   0.920,   0.938,   0.000,  0,   0.000,    1,    0,    2,    6,    6
  38,   1.500,  -2.500,   0.000,   0.920,   0.931,   0.000,  0,   0.000,    1,    0,    2,    7,    6
  25,   2.500,  -2.500,   0.000,   0.920,   0.917,   0.000,  0,   0.000,    0,    0,    3,    8,    6
  17,   3.500,  -2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    0,    0,    3,    9,    6
   9,   4.500,  -2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    0,    0,    4,   10,    6
   1,   5.500,  -2.500,   0.000,   0.920,   0.903,   0.000,  0,   0.000,    0,    0,    5,   11,    6
  95,  -5.500,  -3.500,   0.000,   0.915,   0.903,   0.000,  0,   0.000,    2,    0,    6,    0,    7
  87,  -4.500,  -3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    2,    0,    5,    1,    7
  79,  -3.500,  -3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    2,    0,    4,    2,    7
  71,  -2.500,  -3.500,   0.000,   0.915,   0.917,   0.000,  0,   0.000,    2,    0,    3,    3,    7
  56,  -1.500,  -3.500,   0.000,   0.915,   0.931,   0.000,  0,   0.000,    1,    0,    3,    4,    7
  49,  -0.500,  -3.500,   0.000,   0.915,   0.938,   0.000,  0,   0.000,    1,    0,    3,    5,    7
  46,   0.500,  -3.500,   0.000,   0.915,   0.938,   0.000,  0,   0.000,    1,    0,    3,    6,    7
  39,   1.500,  -3.500,   0.000,   0.915,   0.931,   0.000,  0,   0.000,    1,    0,    3,    7,    7
  24,   2.500,  -3.500,   0.000,   0.915,   0.917,   0.000,  0,   0.000,    0,    0,    3,    8,    7
  16,   3.500,  -3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    0,    0,    4,    9,    7
   8,   4.500,  -3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    0,    0,    5,   10,    7
   0,   5.500,  -3.500,   0.000,   0.915,   0.903,   0.000,  0,   0.000,    0,    0,    6,   11,    7
