   1368
    2.4610, Nb, Lg1   ,    0.0102
    2.4680, S , Kb_   ,    0.0557
    2.4708, S , K-MM  ,    0.0064
    2.4730, Mo, Lb3   ,    0.0303
    2.4800, U , Mz_   ,    0.0614
    2.4870, Hg, Mg_   ,    0.0196
    2.5020, Zr, Lg2   ,    0.0071
    2.5030, Pd, Ll    ,    0.0225
    2.5180, Mo, Lb2   ,    0.0300
    2.5190, Rh, Leta  ,    0.0083
    2.5250, Bi, Mb_   ,    0.2165
    2.5360, Tc, Lb1   ,    0.3103
    2.5576, Ru, La_   ,    0.6166
    2.5630, Os, M-NO  ,    0.0048
    2.5630, Mo, Lg5   ,    0.0012
    2.5650, Tl, Mg_   ,    0.0151
    2.6080, Ir, M-NO  ,    0.0049
    2.6213, Cl, Ka_   ,    0.9311
    2.6230, Mo, Lg1   ,    0.0121
    2.6330, Ag, Ll    ,    0.0216
    2.6540, Pb, Mg_   ,    0.0220
    2.6600, Pd, Leta  ,    0.0080
    2.6630, Nb, Lg2   ,    0.0079
    2.6690, Ar, K-LL  ,    0.0054
    2.6830, Ru, Lb1   ,    0.2160
    2.6956, Rh, La_   ,    0.6089
    2.7230, Pt, M-NO  ,    0.0078
    2.7240, Bi, Mg_   ,    0.0361
    2.7330, Th, M3N1  ,    0.0300
    2.7410, Ru, Lb4   ,    0.0210
    2.7630, Ru, Lb3   ,    0.0310
    2.7630, Ru, Lb6   ,    0.0042
    2.7670, Cd, Ll    ,    0.0215
    2.7973, Cl, K-MM  ,    0.0079
    2.8060, Ag, Leta  ,    0.0078
    2.8150, Cl, Kb_   ,    0.0689
    2.8260, Au, M-NO  ,    0.0077
    2.8300, Mo, Lg2   ,    0.0087
    2.8340, Rh, Lb1   ,    0.2146
    2.8350, Ru, Lb2   ,    0.0521
    2.8375, Pd, La_   ,    0.6015
    2.8600, U , M3N1  ,    0.0137
    2.8900, Rh, Lb4   ,    0.0208
    2.8910, Ru, Lg5   ,    0.0012
    2.9040, In, Ll    ,    0.0201
    2.9150, Rh, Lb3   ,    0.0313
    2.9220, Rh, Lb6   ,    0.0042
    2.9560, Cd, Leta  ,    0.0077
    2.9563, Ar, Ka_   ,    0.9050
